challenge,reason,question_for_expert
06,"The expert reports both a missing square on hbar and a factor-of-two error, but only endorses the AI result under a partial correction. No corrected problem was uploaded.","Should the numerical convention be hbar^2/(2 m_e) = 7619.96423, or should the factor of two also be corrected? Under the intended convention, is the original AI answer correct? If a substantive repair is required, please provide the corrected statement; if no unambiguous repair is possible, say so."
07,"The expert calls the fidelity assumption ambiguous and unchallenged by the AI, but says its conditional derivation is correct and that the problem is not unsolvable. problem.tex contains discussion and an alternative approach rather than an unambiguous replacement statement.","Is the original fidelity assumption acceptable as a manageable convention, making the AI answer correct, or is a revised problem necessary? If revised, please provide the exact intended density matrix and definitions of F and k in a corrected statement."
11,"The expert flags a title/theory mismatch and a confusing target variable. Tree-level reasoning is correct, but the one-loop result is described only as sketchy and qualitatively right; no explicit final correctness verdict or corrected prompt is supplied.","Are the title and x/K wording merely minor issues, and is the complete original AI answer quantitatively correct at one loop? If a substantive statement repair is needed, please provide it or confirm that the intended task cannot be repaired unambiguously."
12,"The expert says the four-stage tunneling process is unclear and that the solution supplies the correct context, but rejects its independence without stating whether that affects correctness. No corrected statement or explicit unrepairability assessment is supplied.","Does the AI's ground-state-projection interpretation correctly resolve a manageable wording issue, or does the task require new information? Please state the original answer's correctness separately from its independence, and provide a corrected statement if necessary."
13,"The geometry/finite-size convention is unspecified. The expert accepts the AI answer under a natural interpretation, but does not say whether alternative geometries materially change the requested result or require a corrected statement.","Is the geometry a manageable standard convention that makes the original AI answer correct, or an essential missing condition? If essential, please provide the corrected geometry/limit in the problem statement or confirm that no unambiguous repair is possible."
16,"The form says Yes for well-definedness and solution notes, while selecting both verified and corrected. The new exact solution does not explicitly identify the original AI error. The local legacy model_failure label is not independent expert evidence.","Is the original AI answer correct or incorrect for the Hamiltonian literally printed in the prompt? If incorrect, please identify the incorrect result or assumption and confirm the corrected critical U. Does the alternative real-space-Hubbard interpretation require any prompt repair?"
22,The expert and AI use different meanings of x. The supplied problem.tex retains the scalar optimization question but appends an interpretation in which x is not a scalar; it does not establish one internally consistent corrected task.,"What exactly are the scalar x and function f in the intended maximization? Please provide a consistent corrected statement, or confirm the original is clean and explicitly grade the AI answer; if neither interpretation is an unambiguous repair, say so."
38,"The review refers to explanation.txt for both the ambiguity analysis and solution, but no attachment was submitted. The available text does not determine the problem class or AI correctness.","Please supply the referenced explanation.txt and explicitly state whether the original problem is clean, substantively repaired with a corrected statement, or unrepairable. If clean, is the original AI answer correct?"
42,"The expert says the gate must be much larger than xi and that domain is confusing, while calling their solution essentially the same. No complete corrected problem is supplied, and the materiality of those assumptions is not stated.","Are the gate-size and domain issues manageable standard assumptions already handled correctly by the AI, or essential missing information? Please confirm the original AI answer's correctness if clean; otherwise provide a corrected problem or state why it is unrepairable."
45,"The expert requires equal electron/hole transport lifetimes but does not clearly supply a complete corrected statement. The normalized problem.tex was assembled from the solution during normalization, so its existence alone does not establish an expert-submitted repair.","Is equal electron/hole transport lifetime an essential missing assumption or an acceptable standard simplification already made by the AI? If essential, please explicitly approve/provide the corrected problem statement including that assumption; otherwise confirm whether the original answer is correct."
54,"The expert flags unspecified trapping geometry, mixed experimental conditions and an incomplete wavelength list, but neither provides a corrected problem nor explicitly states that the task is unrepairable.","Can the problem be repaired unambiguously by specifying trapping geometry and a calculational model? If so, please provide that corrected statement; otherwise explicitly confirm unrepairability. If these are only manageable conventions, is the original four-wavelength answer actually correct and exhaustive?"
56,"The expert says the three-digit answer is underdetermined, leaves problem.tex unchanged, and calls the AI differences nonconsequential. This does not resolve clean under relaxed tolerance versus a substantive repair versus unrepairability.","Should the original AI answer be accepted as correct under the prompt's actual three-significant-digit requirement? If missing inputs require repair, please provide a corrected statement fixing material/wavelength, velocity, statistic and SNR convention; if these cannot be fixed unambiguously, explicitly confirm unrepairability."
57,"The expert identifies genuine large AI errors but also five essential omitted inputs, leaves problem.tex unchanged, and never explicitly labels the problem unrepairable. Model correctness cannot be used to force a clean problem verdict.","Is this a clean problem with an incorrect AI answer despite the omitted inputs, or a problem requiring substantive repair? If repair is possible, please supply the corrected density, velocity, arm length, mirror material and detection statistic in a problem statement; otherwise explicitly confirm unrepairability."
69,The expert checks numerical/internal consistency only conditional on a conjectured contraction formula and explicitly does not verify that conjecture. No unconditional model-correctness conclusion follows.,"Does the original AI answer establish the full contraction coefficient requested by the problem, or only a conjectured value? Please explicitly grade the original answer as correct/incorrect, or provide a corrected problem that makes the conjecture an allowed assumption."
