"annotation_id","display_id","source_problem_id","dataset","category","pass","label","note","review_time_seconds","review_timer_started_at","review_tracking_expected_at","reviewer_id","assigned_at","submitted_at"
"cmte92kqo00041wjnpagsbgh9","224","67370aa83f0517b6e8a60769","hle-physics","statistical physics & thermodynamics","1","PROBLEM_FAILURE","The reference answer is truncated","309","2026-08-29T10:41:04.141Z","2026-08-29T10:41:01.055Z","reviewer_0a6ec4550b1a","2026-08-29T10:41:01.056Z","2026-08-29T12:31:27.015Z"
"cmted0qdo002m1wjnoitg9xh4","201","672a30472091cee6de17ebd1","hle-physics","statistical physics & thermodynamics","1","PROBLEM_FAILURE","The reference is incorrect","42","2026-08-29T12:31:34.280Z","2026-08-29T12:31:33.515Z","reviewer_0a6ec4550b1a","2026-08-29T12:31:33.516Z","2026-08-29T12:32:34.914Z"
"cmted5x8x003b1wjn8dqr5rs4","208","672e09b50a85795d0ed2d36e","hle-physics","statistical physics & thermodynamics","1","PROBLEM_FAILURE","Problem lacks certain characters","66","2026-08-29T12:35:36.291Z","2026-08-29T12:35:35.696Z","reviewer_0a6ec4550b1a","2026-08-29T12:35:35.697Z","2026-08-29T12:38:27.157Z"
"cmtecgq9g000v1wjnzb3xnflz","192","6725562814a5e4119e612733","hle-physics","atomic, molecular, and optical physics","1","PROBLEM_FAILURE","The problem statement is clear and the model solution is correct. The reference solution is mostly correct; however, there is a mistake in the fourth energy. I suspect that this is just a typo.","441","2026-08-29T12:16:01.304Z","2026-08-29T12:16:00.244Z","reviewer_20cdc608231e","2026-08-29T12:16:00.245Z","2026-08-29T12:44:51.493Z"
"cmtedcs5r004d1wjno90hm3tt","202","672a5c2bea4e7fa0183543ae","hle-physics","statistical physics & thermodynamics","1","PROBLEM_FAILURE","reference is incorrect","44","2026-08-29T12:40:56.659Z","2026-08-29T12:40:55.694Z","reviewer_0a6ec4550b1a","2026-08-29T12:40:55.695Z","2026-08-29T12:45:15.131Z"
"cmtedih2w005i1wjn2z8cfykp","194","6728c038c556bb2fdda61dd7","hle-physics","statistical physics & thermodynamics","1","PROBLEM_FAILURE","reference is incorrect","84","2026-08-29T12:45:21.976Z","2026-08-29T12:45:21.271Z","reviewer_0a6ec4550b1a","2026-08-29T12:45:21.272Z","2026-08-29T12:47:18.222Z"
"cmtedncoz006f1wjnvvujl7lr","200","672a29a8d30d6f5584cde745","hle-physics","statistical physics & thermodynamics","1","PROBLEM_FAILURE","the reference is incorrect","60","2026-08-29T12:49:09.487Z","2026-08-29T12:49:08.866Z","reviewer_0a6ec4550b1a","2026-08-29T12:49:08.867Z","2026-08-29T12:50:34.202Z"
"cmtedi7zw005a1wjnybp3az5l","225","673757b8673b15e8ce0a3755","hle-physics","atomic, molecular, and optical physics","1","PROBLEM_FAILURE","The reference solution is incorrect, while the model solution is correct.","341","2026-08-29T12:45:10.858Z","2026-08-29T12:45:09.500Z","reviewer_20cdc608231e","2026-08-29T12:45:09.501Z","2026-08-29T13:00:01.183Z"
"cmtedq8g4006v1wjn6hxkn2ha","42","50","phybench","statistical physics & thermodynamics","1","MODEL_FAILURE","Everything is correct; model answer is algebraically equivalent to the reference","157","2026-08-29T12:51:24.839Z","2026-08-29T12:51:23.331Z","reviewer_0a6ec4550b1a","2026-08-29T12:51:23.332Z","2026-08-29T13:04:39.252Z"
"cmtef89h1008y1wjncwqb6dau","210","672fc00e13e5fbd332372f3f","hle-physics","high energy & nuclear","1","PROBLEM_FAILURE","The problem prompt should have specified the supersymmetric CP(N-1) sigma model, under which the original answer is correct. The reference solution is completely out of the chart without any solid reasoning.","726","2026-08-29T13:33:24.610Z","2026-08-29T13:33:24.084Z","reviewer_23ba6db1d637","2026-08-29T13:33:24.085Z","2026-08-29T14:03:36.197Z"
"cmteg303300ay1wjnxmmhsnnb","233","673909949318c3bbb1056f54","hle-physics","classical mechanics","1","PROBLEM_FAILURE","The reference solution is incorrect because the point object does not undergo circular motion in the rest frame of the rod.  The ring accelerates while the point object falls, so v=L\dot{\theta} is incorrect.","709","2026-08-29T13:57:20.381Z","2026-08-29T13:57:18.255Z","reviewer_8983a05f1730","2026-08-29T13:57:18.255Z","2026-08-29T14:09:29.497Z"
"cmtegbiwg00cp1wjnzne9epi0","168","671b14a6a05f8889abb23bf0","hle-physics","relativity","1","PROBLEM_FAILURE","The reference solution is incorrect. The AI model response is correct.","609","2026-08-29T14:03:56.564Z","2026-08-29T14:03:55.888Z","reviewer_23ba6db1d637","2026-08-29T14:03:55.888Z","2026-08-29T14:16:04.302Z"
"cmtegk1ib00f91wjnxeutzqp1","182","67225f3cf135fd983a87bc1f","hle-physics","statistical physics & thermodynamics","1","PROBLEM_FAILURE","The problem statement makes no sense.  The idea of Maxwell's demon is that the door opens only to allow flux in one direction.  A Brownian ratchet can't be used to do that.","221","2026-08-29T14:10:33.691Z","2026-08-29T14:10:33.251Z","reviewer_8983a05f1730","2026-08-29T14:10:33.251Z","2026-08-29T14:19:01.526Z"
"cmtegwxkn00ib1wjnwpzw60gk","181","67218f865b0747ce2231d48c","hle-physics","classical mechanics","1","PROBLEM_FAILURE","this problem is incoherent and ill-posed.","74","2026-08-29T14:20:35.463Z","2026-08-29T14:20:34.679Z","reviewer_8983a05f1730","2026-08-29T14:20:34.680Z","2026-08-29T14:22:14.174Z"
"cmtegz5j900j01wjn7667jckv","193","67260355aaf7cd419fd01af6","hle-physics","classical mechanics","1","PROBLEM_FAILURE","the reference answer has a computational error.  the result of the integration should be (4*pi/15)*a^3, not (8*pi/15)*a^3","462","2026-08-29T14:22:19.476Z","2026-08-29T14:22:18.309Z","reviewer_8983a05f1730","2026-08-29T14:22:18.309Z","2026-08-29T14:30:31.966Z"
"cmtegrvrx00gp1wjnq9la713e","237","67399a69c180d4d45680e434","hle-physics","relativity","1","PROBLEM_FAILURE","The reference solution is incorrect.","752","2026-08-29T14:16:40.904Z","2026-08-29T14:16:39.069Z","reviewer_23ba6db1d637","2026-08-29T14:16:39.070Z","2026-08-29T14:37:53.012Z"
"cmteh9uch00lf1wjnbuer0tv0","160","66fb417395a8e2fc57e479d7","hle-physics","classical mechanics","1","MODEL_FAILURE","The grader is correct here.  The point is that all we know is conservation of momentum for the explosion with no other information, including initial vertical velocities of the fragments.  so the second fragment can be anywhere past the 500 meter mark.  Since the fragments don't necessarily land at the same time, we can't assume that center of mass x position is still 1000 at the end of the problem.","326","2026-08-29T14:30:37.950Z","2026-08-29T14:30:37.025Z","reviewer_8983a05f1730","2026-08-29T14:30:37.025Z","2026-08-29T14:41:29.996Z"
"cmtehjmye00mj1wjnc6p6y91h","227","6737d23a6a364decc45cc7ee","hle-physics","astronomy","1","PROBLEM_FAILURE","The ratio between the orbital distances of the two planets at the moment of observation needs to be specified to derive a numerical result.","450","2026-08-29T14:38:15.043Z","2026-08-29T14:38:14.006Z","reviewer_23ba6db1d637","2026-08-29T14:38:14.007Z","2026-08-29T14:48:27.820Z"
"cmtee1ikh008b1wjnyc28az2m","217","6734956467d2904eebed3a09","hle-physics","others","1","MODEL_FAILURE","Grader provides a very nice reference for this.","279","2026-08-29T13:00:10.474Z","2026-08-29T13:00:09.664Z","reviewer_20cdc608231e","2026-08-29T13:00:09.665Z","2026-08-29T14:54:16.336Z"
"cmtei4lnf00pa1wjnfqr1ntkg","179","67213cb9043b1e724244a1c6","hle-physics","atomic, molecular, and optical physics","1","PROBLEM_FAILURE","Reference solution did the correct calculation but provided a final answer to a different question.","237","2026-08-29T14:54:32.612Z","2026-08-29T14:54:32.090Z","reviewer_20cdc608231e","2026-08-29T14:54:32.091Z","2026-08-29T15:02:42.028Z"
"cmtei4me400pf1wjn93u5tj22","249","66ed86e620ed3db95f9901d3","hle-physics","classical mechanics","1","PROBLEM_FAILURE","Both responses have the same correct starting point.  The AI response proceeds to solve numerically, while the reference employs analytical methods to get a closed form that it incorrect.  The result is not in the range of possible solutions since it is greater than -3.  Meanwhile the AI response is not totally accurate either, perhaps due to too coarse of an integration grid.  But it's response is closer.","669","2026-08-29T14:54:35.361Z","2026-08-29T14:54:33.051Z","reviewer_8983a05f1730","2026-08-29T14:54:33.052Z","2026-08-29T15:09:02.454Z"
"cmteis5lc00tj1wjnx4i3s2h9","240","673f8ff088d617494f21e0d2","hle-physics","classical mechanics","1","PROBLEM_FAILURE","The whole point of the problem is that this is a variable mass system.  The reference doesn't model this and is incorrect.  It also doesn't account for the mass of the cardboard.","179","2026-08-29T15:12:52.549Z","2026-08-29T15:12:51.024Z","reviewer_8983a05f1730","2026-08-29T15:12:51.025Z","2026-08-29T15:18:16.979Z"
"cmteiysci00ur1wjnb78agmqf","170","671ec6d8a695a5847b48c39a","hle-physics","condensed matter physics","1","PROBLEM_FAILURE","I feel that the problem is underdetermined, specifically with the choice of the Hamiltonian, and the reference and AI answer answer the problem (both correctly) under different assumptions, yielding slightly different answers with similar structures.

For example, we need not take the Frenkel Hamiltonian, and we could just as easily treat the electron-hole as a delocalized exciton in a Wannier-Mott formalism.","402","2026-08-29T15:18:01.415Z","2026-08-29T15:18:00.450Z","reviewer_5d62413899c9","2026-08-29T15:18:00.451Z","2026-08-29T15:25:57.997Z"
