challenge,exception
00,"Official example, not a reviewer submission; problem.tex is the supplied original statement."
03,Missing: problem.tex.
03,Final answer retains the author's undetermined operator-normalization factor and WKB qualification.
03,No separate final-answer upload; final_answer.tex was extracted from the submitted solution.
05,Missing: problem.tex.
06,Missing: problem.tex.
09,"Missing: problem.tex, solution.tex, final_answer.tex."
11,"Missing: problem.tex, solution.tex, final_answer.tex."
12,"Missing: problem.tex, solution.tex, final_answer.tex."
13,"Missing: problem.tex, solution.tex, final_answer.tex."
14,"Missing: problem.tex, solution.tex, final_answer.tex."
15,"Missing: problem.tex, solution.tex, final_answer.tex."
16,"Upload named final_answer was a full derivation. Extracted its stated momentum-diagonal model and result; appended the unchanged original question. Result is conditional on that literal interaction, not a real-space Hubbard model."
18,Missing: problem.tex.
18,solution: different submissions; selected the latest form submission; all originals retained.
18,final_answer: different submissions; selected the latest form submission; all originals retained.
19,Missing: problem.tex.
20,Combined document split into roles. Final answer retains the author's factor-of-two convention for g; generalized-problem and cross-check material remains supporting content.
21,"Missing: problem.tex, solution.tex, final_answer.tex."
24,"Missing: problem.tex, solution.tex, final_answer.tex."
25,"Missing: problem.tex, solution.tex, final_answer.tex."
26,"Missing: solution.tex, final_answer.tex."
26,Only a problem file was uploaded; review notes asserting verification are not a detailed solution or final answer.
27,"Missing: problem.tex, solution.tex, final_answer.tex."
29,Missing: problem.tex.
30,Missing: problem.tex.
31,problem: identical duplicate submissions; all originals retained.
31,solution: identical duplicate submissions; all originals retained.
31,final_answer: identical duplicate submissions; all originals retained.
32,"Missing: solution.tex, final_answer.tex."
32,Only a problem file was uploaded; review notes asserting verification are not a detailed solution or final answer.
33,problem: identical duplicate submissions; all originals retained.
33,solution: different submissions; selected the latest form submission; all originals retained.
33,final_answer: identical duplicate submissions; all originals retained.
34,"Missing: problem.tex, solution.tex, final_answer.tex."
35,Missing: problem.tex.
35,Excluded the entropy solution/final answer that are byte-identical to challenge 17 uploads. Selected the Hamiltonian-reconstruction pair for challenge 35; wrong attachments remain in supporting/.
36,"Missing: problem.tex, solution.tex, final_answer.tex."
37,"Missing: problem.tex, solution.tex, final_answer.tex."
38,"Missing: problem.tex, solution.tex, final_answer.tex."
38,"Annotations refer to explanation.txt, but no attachment URL or file was supplied."
39,Combined document split into roles. Used the coherent-input result requested by the challenge; squeezed-input bonus and cross-checks remain in the full submitted solution/supporting files.
41,"Missing: problem.tex, solution.tex, final_answer.tex."
42,Missing: problem.tex.
42,"Final answer extracted from the author's summary, including all qualitative TI/scattering answers. No complete revised problem upload; clarification requests exist only in annotations."
43,"Missing: problem.tex, solution.tex, final_answer.tex."
45,"Problem and final answer extracted from the combined document. Retained equal, energy-independent lifetimes and distinguished the exact nondegenerate condition from its large-gap approximation."
46,"Missing: problem.tex, solution.tex, final_answer.tex."
47,Missing: problem.tex.
48,Split the file labelled final_answer into a detailed solution and concluding answer. The revised problem explicitly supplies the analytic-continuation prescription.
49,Missing: problem.tex.
50,"Missing: solution.tex, final_answer.tex."
50,Only a problem file was uploaded; review notes asserting verification are not a detailed solution or final answer.
52,"Missing: problem.tex, solution.tex, final_answer.tex."
53,Missing: problem.tex.
53,No separate final-answer upload; final_answer.tex was extracted from the submitted solution.
54,Missing: problem.tex.
54,Reviewed solution preserves an AI-derived/literature-based calculation with comments. Wavelengths use different geometries; the 174-Yb 483 nm result is inferred and the list is not established as exhaustive. No unambiguous revised problem supplied.
55,"Missing: problem.tex, solution.tex, final_answer.tex."
56,solution: identical duplicate submissions; all originals retained.
56,final_answer: identical duplicate submissions; all originals retained.
56,"Selected the reviewer's replacement solution and answer, not ai_solution/ai_final_answer. The submitted problem was explicitly left unchanged; additional assumptions are in the solution. Figures and bibliography are retained under supporting/Submission/."
57,solution: identical duplicate submissions; all originals retained.
57,final_answer: identical duplicate submissions; all originals retained.
57,"Selected the reviewer's replacement solution and answer, not ai_solution/ai_final_answer. The submitted problem was explicitly left unchanged; additional assumptions are in the solution. Figures and bibliography are retained under supporting/Submission/."
58,Missing: problem.tex.
59,Missing: problem.tex.
59,"Final answer extracted from the first-order result. Higher-harmonic discussion is supporting derivation, not the designated first-order answer; no complete revised problem upload."
60,Missing: problem.tex.
63,"Missing: problem.tex, solution.tex, final_answer.tex."
64,Missing: problem.tex.
64,No separate final-answer upload; final_answer.tex was extracted from the submitted solution.
65,"Missing: problem.tex, solution.tex, final_answer.tex."
69,Missing: problem.tex.
70,Missing: problem.tex.
